<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.04	19:00:00	5149.70	5152.90	5120.20	5141.03	19796	0	24
2026.03.04	20:00:00	5141.04	5143.24	5109.11	5133.83	19943	0	22
2026.03.04	21:00:00	5134.00	5139.46	5123.34	5137.84	14808	0	25
2026.03.04	22:00:00	5137.51	5146.67	5123.63	5134.67	15849	0	22
2026.03.04	23:00:00	5134.68	5143.90	5129.61	5141.27	4919	0	26
2026.03.05	01:00:00	5146.26	5166.07	5144.62	5165.21	5650	0	27
2026.03.05	02:00:00	5165.20	5179.67	5159.39	5172.54	7050	0	24
2026.03.05	03:00:00	5172.55	5186.32	5167.39	5172.58	18648	0	22
2026.03.05	04:00:00	5172.59	5192.39	5171.71	5192.00	17629	0	22
2026.03.05	05:00:00	5191.98	5194.94	5178.28	5180.13	12839	0	22
2026.03.05	06:00:00	5180.08	5186.61	5166.23	5171.59	9917	0	24
2026.03.05	07:00:00	5171.63	5176.70	5148.34	5148.55	14997	0	22
2026.03.05	08:00:00	5148.58	5168.83	5120.81	5167.65	21310	0	22
2026.03.05	09:00:00	5167.66	5172.79	5158.92	5162.07	15710	0	24
2026.03.05	10:00:00	5162.04	5170.12	5137.58	5165.51	17731	0	22
2026.03.05	11:00:00	5165.50	5180.41	5153.78	5160.91	18775	0	22
2026.03.05	12:00:00	5160.89	5167.50	5146.26	5164.55	13820	0	22
2026.03.05	13:00:00	5164.54	5167.91	5156.94	5163.63	11051	0	22
2026.03.05	14:00:00	5163.65	5171.40	5160.84	5162.50	9918	0	22
2026.03.05	15:00:00	5162.66	5164.00	5083.83	5117.98	24219	0	22
2026.03.05	16:00:00	5118.00	5129.83	5090.83	5102.11	27016	0	22
2026.03.05	17:00:00	5101.43	5119.73	5061.86	5102.51	30919	0	22
2026.03.05	18:00:00	5102.50	5104.37	5054.20	5077.60	28740	0	22
2026.03.05	19:00:00	5077.63	5089.40	5054.95	5062.89	28783	0	22
2026.03.05	20:00:00	5062.72	5085.43	5050.85	5069.40	26800	0	22
2026.03.05	21:00:00	5069.34	5081.31	5055.94	5065.94	24640	0	24
2026.03.05	22:00:00	5065.93	5094.62	5061.67	5076.62	24644	0	20
2026.03.05	23:00:00	5076.40	5084.87	5072.09	5080.93	5979	0	22
2026.03.06	01:00:00	5082.86	5102.01	5081.89	5086.20	8279	0	25
2026.03.06	02:00:00	5086.13	5092.21	5074.16	5084.59	12383	0	24
2026.03.06	03:00:00	5084.56	5143.70	5066.27	5134.62	24166	0	22
2026.03.06	04:00:00	5134.44	5138.39	5122.08	5126.31	17445	0	22
2026.03.06	05:00:00	5126.31	5141.46	5124.38	5131.14	11789	0	22
2026.03.06	06:00:00	5131.10	5136.34	5126.21	5127.44	7106	0	22
2026.03.06	07:00:00	5127.39	5129.99	5114.02	5117.20	11968	0	22
2026.03.06	08:00:00	5117.31	5122.98	5109.18	5115.75	11835	0	22
2026.03.06	09:00:00	5115.72	5120.65	5105.69	5119.54	11383	0	22
2026.03.06	10:00:00	5119.61	5122.99	5096.31	5108.51	14483	0	22
2026.03.06	11:00:00	5108.52	5109.41	5083.40	5085.67	17252	0	22
2026.03.06	12:00:00	5085.67	5092.84	5075.75	5091.01	15595	0	22
2026.03.06	13:00:00	5091.19	5099.65	5062.77	5076.91	16502	0	22
2026.03.06	14:00:00	5076.87	5096.58	5076.14	5083.17	18207	0	24
2026.03.06	15:00:00	5083.15	5130.71	5065.49	5084.97	28784	0	22
2026.03.06	16:00:00	5085.10	5131.91	5081.04	5130.14	29919	0	22
2026.03.06	17:00:00	5130.15	5171.59	5127.81	5141.77	30476	0	22
2026.03.06	18:00:00	5141.98	5153.00	5125.97	5139.83	24281	0	22
2026.03.06	19:00:00	5139.95	5152.44	5128.82	5140.68	20615	0	24
2026.03.06	20:00:00	5140.69	5167.68	5138.63	5161.08	17734	0	22
2026.03.06	21:00:00	5161.06	5174.56	5156.61	5159.67	16736	0	22
2026.03.06	22:00:00	5159.72	5162.48	5149.45	5153.26	16598	0	22
2026.03.06	23:00:00	5152.85	5175.60	5150.86	5173.19	5557	0	24
2026.03.09	00:00:00	5178.13	5198.67	5103.63	5129.96	17945	0	28
2026.03.09	01:00:00	5129.81	5135.37	5044.44	5076.00	15776	0	20
2026.03.09	02:00:00	5076.01	5079.60	5028.44	5049.89	23671	0	22
2026.03.09	03:00:00	5049.62	5087.45	5014.75	5070.08	27169	0	22
2026.03.09	04:00:00	5070.18	5099.31	5055.54	5094.54	24253	0	22
2026.03.09	05:00:00	5094.56	5102.21	5081.74	5091.14	14714	0	22
2026.03.09	06:00:00	5091.15	5097.10	5085.19	5090.07	9111	0	22
2026.03.09	07:00:00	5090.08	5140.39	5081.02	5124.21	19425	0	22
2026.03.09	08:00:00	5124.06	5133.92	5096.82	5097.77	18544	0	22
2026.03.09	09:00:00	5097.81	5107.71	5088.44	5099.08	14312	0	22
2026.03.09	10:00:00	5099.05	5110.91	5086.94	5096.49	15228	0	22
2026.03.09	11:00:00	5096.51	5132.58	5094.93	5105.17	15954	0	22
2026.03.09	12:00:00	5105.16	5111.11	5083.38	5087.14	14462	0	22
2026.03.09	13:00:00	5087.15	5097.26	5079.68	5087.95	12235	0	22
2026.03.09	14:00:00	5088.08	5112.08	5088.08	5094.95	14775	0	22
2026.03.09	15:00:00	5094.97	5111.22	5067.28	5074.11	25549	0	22
2026.03.09	16:00:00	5074.10	5116.03	5060.71	5093.77	30920	0	22
2026.03.09	17:00:00	5093.77	5103.42	5079.47	5099.58	24157	0	22
2026.03.09	18:00:00	5099.68	5110.69	5094.71	5104.60	14656	0	22
2026.03.09	19:00:00	5104.61	5106.72	5089.05	5096.03	15391	0	22
2026.03.09	20:00:00	5096.02	5126.40	5092.45	5123.25	15467	0	24
2026.03.09	21:00:00	5123.26	5144.11	5118.45	5141.01	22488	0	22
2026.03.09	22:00:00	5140.98	5148.00	5134.21	5136.66	7793	0	22
2026.03.10	00:00:00	5140.47	5153.11	5117.63	5152.92	11382	0	24
